molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL3216288,Cc1c(Cl)cccc1N1CCN(CC(O)CNC(=O)c2nc(C)n(-c3ccccc3F)c2C)CC1.Cl.Cl.Cl,197.0,active
CHEMBL3216290,Cc1c(Cl)cccc1N1CCN(CC(O)CNC(=O)c2nc(C)n(-c3ccc(F)cc3)c2C)CC1.Cl.Cl.Cl,254.0,active
CHEMBL3216076,Cc1cccc(N2CCN(C[C@H](O)CNC(=O)c3nc(C)n(-c4ccccc4)c3C)CC2)c1C.Cl.Cl,72.5,active
CHEMBL3216302,CCCc1nc(C(=O)NCCCN2CCN(c3cccc(Cl)c3Cl)CC2)c(C)n1-c1ccccc1.Cl.Cl.Cl.Cl,21.0,active
CHEMBL629,CN(C)CCC=C1c2ccccc2CCc2ccccc21,15.0,active
CHEMBL1289,Clc1cc(Cl)c(OCC#CI)cc1Cl,2421.0,active
CHEMBL954,CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,3308.0,active
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.851,active
CHEMBL564,CN(C)CCCN1c2ccccc2Sc2ccccc21,23.0,active
CHEMBL597,Cc1ccc(N(CC2=NCCN2)c2cccc(O)c2)cc1,359.0,active
CHEMBL728,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1,7.062,active
CHEMBL98350,O=c1cc(N2CCOCC2)oc2c(-c3ccccc3)cccc12,2796.0,intermmediate
CHEMBL452861,CC(C)NC[C@H](O)COc1cccc2ccccc12,1883.0,active
CHEMBL1933402,CCCc1ccc(S(=O)(=O)N(C)C2CCN(C)CC2)cc1,329.0,active
CHEMBL1933405,CN1CCC(N(C)S(=O)(=O)c2ccc(OC(F)(F)F)cc2)CC1,2448.0,active
CHEMBL1933406,CN1CCC(N(C)S(=O)(=O)c2ccc(C#N)cc2)CC1,10000.0,intermmediate
CHEMBL422931,FC(F)(F)c1cc(COCC2(c3ccccc3)CCNCC2)cc(C(F)(F)F)c1,1000.0,active
CHEMBL2376484,Cc1[nH]c2ccc(OS(=O)(=O)C(F)(F)F)cc2c1C1=CCNCC1,1000.0,active
CHEMBL2376487,Cc1[nH]c2ccc([N+](=O)[O-])cc2c1C1=CCNCC1,1000.0,active
CHEMBL2393250,CCCNc1nc(Nc2ccccc2)c2cn[nH]c2n1,10000.0,active
CHEMBL2393261,C=CCNc1nc(Nc2ccc(F)cc2)c2cn[nH]c2n1,6577.0,active
CHEMBL2393269,Fc1ccc(Nc2nc(N3CCOCC3)nc3[nH]ncc23)cc1,2618.0,inactive
CHEMBL2393264,Fc1ccc(Nc2nc(NCc3ccccc3)nc3[nH]ncc23)cc1,1268.0,active
CHEMBL2393403,COc1cccc(Nc2nc(N3CCN(c4ccc(F)cc4)CC3)nc3[nH]ncc23)c1,350.0,active
CHEMBL2393275,Fc1ccc(Nc2nc(N3CCN(Cc4ccccc4)CC3)nc3[nH]ncc23)cc1,52.2,active
CHEMBL3338677,CCCCCCCCCCCCCCCC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](C)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CCCNC(=N)N)C(N)=O)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(C)C,30000.0,
CHEMBL3398394,COc1ccc(S(=O)(=O)n2cc(/C=N/N=C/N(C)C)c3c([N+](=O)[O-])cccc32)cc1,205.0,
CHEMBL51,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,11.0,
CHEMBL3601022,OC[C@H]1CCCN1CCOc1ccc(C#Cc2ccc(-c3ccc(Cl)cc3)cn2)cc1,1640.0,
CHEMBL3600974,O=C(CCc1ccc(-c2ccc(Cl)cc2)cc1)Nc1ccc(CN2CCCCC2)cc1,138.0,
CHEMBL3601030,COc1ccc(-c2ccc(CCCNc3ccc(CN4CCCC4)cc3)nn2)cc1,4540.0,
